Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 2: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 3: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 4: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 5: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 6: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 7: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 8: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 9: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 10: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 11: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 12: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 13: (+5/9) 4 × T1 | R%: 0.257% (1 in 388.75) | 34.5 ★ [+23.0]
Roll 14: (+9/11) 2 × T1 | R%: 9.26% (1 in 10.799) | 20.7 ★ [+16.2]
Roll 15: (+11/12) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.4 ★ [+4.4]
Roll 16: (+12/13) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.8 ★ [+4.8]
Roll 17: (+13/14) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.2 ★ [+5.2]
Roll 18: (+14/15) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.6 ★ [+5.6]
Roll 19: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 20: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 21: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 22: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 23: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 24: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 25: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 26: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 27: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 28: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 29: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 30: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 31: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 32: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 33: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 34: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 35: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 36: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 37: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 38: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 39: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 40: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 41: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 42: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 43: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 44: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 45: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 46: 4 × T3 | R%: 0.029% (1 in 3.50×10^3) | 169.02 ★
Roll 47: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 48: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 49: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 50: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 51: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 52: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 53: (+3/6) 3 × T2 | R%: 0.514% (1 in 194.375) | 75.35 ★ [+41.1]
Roll 54: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 55: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 56: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 57: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 58: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 59: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 60: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 61: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 62: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 63: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 64: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 65: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 66: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 67: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 68: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 69: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 70: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 71: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
